,3 Nodes,3 Nodes,4 Nodes,4 Nodes,5 Nodes,5 Nodes,6 Nodes,6 Nodes,7 Nodes,7 Nodes,8 Nodes,8 Nodes,9 Nodes,9 Nodes
,Accuracy,Valid Solutions,Accuracy,Valid Solutions,Accuracy,Valid Solutions,Accuracy,Valid Solutions,Accuracy,Valid Solutions,Accuracy,Valid Solutions,Accuracy,Valid Solutions
Layers,,,,,,,,,,,,,,
1,32.40\%,48,23.16\%,42,34.15\%,57,22.35\%,51,28.55\%,57,26.92\%,57,25.80\%,58
2,37.03\%,51,28.19\%,53,25.62\%,48,21.10\%,51,27.65\%,45,28.49\%,63,22.79\%,53
3,46.70\%,64,26.20\%,48,29.35\%,47,24.94\%,58,19.93\%,45,23.81\%,51,20.78\%,44
4,37.21\%,56,21.51\%,38,33.03\%,58,23.67\%,51,25.80\%,52,21.03\%,46,25.81\%,52
5,40.89\%,56,25.16\%,50,30.13\%,55,24.25\%,49,\textbf{33.54\%},64,24.70\%,52,24.12\%,56
6,44.14\%,64,28.29\%,52,31.25\%,53,19.84\%,53,28.36\%,55,25.43\%,53,26.96\%,54
7,42.27\%,57,25.25\%,48,31.57\%,62,22.38\%,57,19.91\%,43,23.81\%,47,25.70\%,54
8,46.57\%,62,32.24\%,55,28.17\%,55,21.71\%,54,28.71\%,58,19.44\%,49,25.79\%,61
9,44.63\%,60,24.20\%,51,33.73\%,61,24.74\%,56,28.18\%,57,19.39\%,41,\textbf{29.97\%},60
10,42.51\%,61,26.92\%,50,30.41\%,55,19.65\%,48,31.56\%,62,25.43\%,55,26.81\%,55
11,41.46\%,66,31.89\%,59,26.82\%,50,24.86\%,56,26.08\%,53,22.21\%,48,20.11\%,44
12,33.22\%,51,27.36\%,50,32.72\%,51,20.49\%,45,29.66\%,55,\textbf{31.67\%},62,24.99\%,51
13,47.89\%,66,27.35\%,55,\textbf{35.08\%},58,22.13\%,55,25.70\%,46,21.32\%,48,28.55\%,57
14,38.63\%,52,25.63\%,50,28.53\%,57,25.46\%,62,24.69\%,50,28.13\%,59,26.96\%,52
15,36.59\%,54,26.85\%,54,26.39\%,57,18.12\%,48,27.29\%,57,26.28\%,59,23.52\%,51
16,38.95\%,61,21.88\%,44,24.49\%,47,19.22\%,50,26.75\%,49,23.65\%,51,22.15\%,49
17,42.83\%,57,29.18\%,58,30.25\%,65,19.94\%,47,20.94\%,44,24.65\%,52,24.90\%,51
18,31.84\%,54,31.65\%,55,32.71\%,54,21.23\%,56,28.97\%,61,20.01\%,43,23.13\%,51
19,43.33\%,59,\textbf{36.62\%},62,28.66\%,56,17.57\%,48,22.21\%,46,25.26\%,56,23.23\%,51
20,40.71\%,57,27.57\%,49,33.45\%,61,19.57\%,48,27.24\%,53,23.33\%,55,20.34\%,41
21,38.71\%,50,20.62\%,43,27.43\%,53,19.74\%,52,29.32\%,53,19.69\%,45,24.08\%,47
22,37.59\%,55,24.30\%,49,31.83\%,58,14.70\%,39,28.53\%,57,24.93\%,57,24.55\%,50
23,43.21\%,58,25.45\%,51,33.17\%,59,21.49\%,59,28.49\%,56,25.43\%,56,28.20\%,56
24,37.70\%,56,28.70\%,55,25.64\%,47,19.59\%,58,24.19\%,48,24.30\%,50,28.72\%,58
25,33.10\%,53,27.43\%,49,33.85\%,55,21.17\%,49,26.12\%,52,27.88\%,60,27.82\%,58
26,34.71\%,48,27.12\%,47,31.99\%,62,17.57\%,45,24.99\%,52,24.50\%,50,23.68\%,48
27,40.02\%,54,27.09\%,55,27.36\%,50,22.54\%,53,25.31\%,52,20.06\%,41,28.55\%,62
28,34.84\%,52,26.66\%,53,26.99\%,57,22.74\%,51,23.46\%,47,23.64\%,52,21.57\%,49
29,\textbf{49.63\%},57,28.34\%,53,31.63\%,55,19.93\%,54,29.60\%,59,21.80\%,49,25.30\%,53
30,38.95\%,59,30.33\%,60,27.20\%,51,\textbf{25.48\%},51,26.20\%,55,26.37\%,56,22.63\%,43
