Layers,3 Nodes,4 Nodes,5 Nodes,6 Nodes,7 Nodes,8 Nodes,9 Nodes
1,30.78\%,21.93\%,36.84\%,\textbf{23.50\%},\textbf{16.84\%},\textbf{32.69\%},\textbf{27.18\%}
2,33.33\%,18.73\%,11.66\%,14.49\%,,,
3,66.67\%,75.28\%,50.00\%,,,,
4,60.32\%,14.61\%,20.28\%,,,,
5,29.10\%,25.47\%,20.28\%,,,,
6,64.55\%,52.81\%,26.34\%,,,,
7,\textbf{91.53\%},0.00\%,11.66\%,,,,
8,31.22\%,0.00\%,28.67\%,,,,
9,29.10\%,37.08\%,24.71\%,,,,
10,31.22\%,50.19\%,50.58\%,,,,
11,29.10\%,0.00\%,17.25\%,,,,
12,62.43\%,18.73\%,23.31\%,,,,
13,31.22\%,37.08\%,37.06\%,,,,
14,62.43\%,0.00\%,20.28\%,,,,
15,31.22\%,18.73\%,\textbf{91.61\%},,,,
16,33.33\%,52.06\%,64.69\%,,,,
17,29.10\%,0.00\%,65.03\%,,,,
18,29.10\%,0.00\%,59.67\%,,,,
19,33.33\%,12.73\%,24.48\%,,,,
20,33.33\%,19.48\%,42.42\%,,,,
21,0.00\%,0.00\%,14.69\%,,,,
22,0.00\%,25.47\%,19.58\%,,,,
23,46.83\%,12.73\%,15.38\%,,,,
24,31.22\%,\textbf{82.02\%},30.30\%,,,,
25,0.00\%,24.34\%,28.32\%,,,,
26,29.10\%,50.00\%,6.29\%,,,,
27,0.00\%,38.95\%,52.21\%,,,,
28,29.10\%,33.33\%,46.62\%,,,,
29,60.32\%,24.34\%,0.00\%,,,,
30,29.10\%,9.74\%,11.66\%,,,,
