Layers,3 Nodes,4 Nodes,5 Nodes,6 Nodes,7 Nodes,8 Nodes,9 Nodes
1,82.85\%,90.04\%,70.59\%,77.24\%,77.88\%,80.79\%,75.14\%
2,92.92\%,93.12\%,76.31\%,79.63\%,79.77\%,84.65\%,78.80\%
3,98.77\%,97.65\%,77.82\%,80.47\%,78.56\%,84.80\%,77.81\%
4,\textbf{100.00\%},98.19\%,86.64\%,83.94\%,81.74\%,82.20\%,78.47\%
5,\textbf{100.00\%},99.35\%,81.49\%,84.51\%,82.45\%,84.54\%,78.95\%
6,\textbf{100.00\%},99.42\%,90.03\%,84.84\%,81.71\%,84.04\%,78.24\%
7,\textbf{100.00\%},99.73\%,90.15\%,87.84\%,82.36\%,85.93\%,78.42\%
8,\textbf{100.00\%},99.92\%,90.54\%,87.49\%,84.95\%,85.07\%,77.32\%
9,\textbf{100.00\%},99.50\%,89.23\%,87.63\%,82.89\%,84.73\%,78.23\%
10,\textbf{100.00\%},99.81\%,90.77\%,86.98\%,86.01\%,85.74\%,78.69\%
11,\textbf{100.00\%},99.88\%,93.33\%,88.61\%,84.65\%,85.66\%,79.18\%
12,\textbf{100.00\%},\textbf{100.00\%},94.10\%,89.14\%,86.45\%,85.79\%,79.49\%
13,\textbf{100.00\%},99.92\%,95.00\%,89.14\%,85.15\%,\textbf{86.34\%},\textbf{80.06\%}
14,\textbf{100.00\%},99.92\%,96.46\%,89.94\%,83.47\%,83.77\%,
15,\textbf{100.00\%},99.92\%,94.85\%,87.76\%,86.45\%,84.85\%,
16,\textbf{100.00\%},\textbf{100.00\%},95.77\%,92.29\%,86.75\%,85.48\%,
17,\textbf{100.00\%},\textbf{100.00\%},96.41\%,89.59\%,86.44\%,,
18,\textbf{100.00\%},\textbf{100.00\%},97.56\%,89.86\%,88.22\%,,
19,\textbf{100.00\%},\textbf{100.00\%},96.21\%,91.02\%,88.79\%,,
20,\textbf{100.00\%},\textbf{100.00\%},98.54\%,91.47\%,88.48\%,,
21,\textbf{100.00\%},\textbf{100.00\%},97.51\%,93.55\%,86.58\%,,
22,\textbf{100.00\%},\textbf{100.00\%},97.13\%,92.22\%,\textbf{88.84\%},,
23,\textbf{100.00\%},\textbf{100.00\%},97.56\%,91.82\%,,,
24,\textbf{100.00\%},\textbf{100.00\%},97.92\%,93.24\%,,,
25,\textbf{100.00\%},\textbf{100.00\%},98.00\%,91.86\%,,,
26,\textbf{100.00\%},\textbf{100.00\%},98.46\%,93.61\%,,,
27,\textbf{100.00\%},\textbf{100.00\%},98.13\%,93.45\%,,,
28,\textbf{100.00\%},\textbf{100.00\%},\textbf{99.08\%},92.76\%,,,
29,\textbf{100.00\%},\textbf{100.00\%},97.69\%,92.63\%,,,
30,\textbf{100.00\%},\textbf{100.00\%},98.03\%,\textbf{94.69\%},,,
