Layers,3 Nodes,4 Nodes,5 Nodes,6 Nodes,7 Nodes,8 Nodes,9 Nodes
1,77.54\%,88.31\%,69.51\%,78.94\%,77.99\%,79.25\%,78.32\%
2,93.08\%,95.85\%,79.15\%,76.86\%,79.42\%,83.37\%,78.16\%
3,99.15\%,96.00\%,79.41\%,83.39\%,80.06\%,83.63\%,78.08\%
4,99.62\%,98.31\%,81.28\%,80.41\%,82.24\%,82.55\%,78.51\%
5,\textbf{100.00\%},98.38\%,87.23\%,82.35\%,82.59\%,83.31\%,76.48\%
6,\textbf{100.00\%},99.31\%,90.26\%,83.14\%,83.06\%,84.29\%,78.39\%
7,\textbf{100.00\%},99.54\%,89.54\%,86.57\%,85.88\%,83.12\%,\textbf{80.95\%}
8,\textbf{100.00\%},99.92\%,90.69\%,85.51\%,86.41\%,85.17\%,78.21\%
9,\textbf{100.00\%},99.81\%,91.64\%,87.71\%,84.22\%,83.71\%,75.55\%
10,\textbf{100.00\%},99.65\%,91.90\%,84.02\%,86.35\%,84.02\%,78.69\%
11,\textbf{100.00\%},99.65\%,92.15\%,86.71\%,86.25\%,83.21\%,78.80\%
12,\textbf{100.00\%},99.85\%,91.74\%,88.16\%,84.88\%,86.42\%,79.32\%
13,\textbf{100.00\%},99.92\%,95.18\%,88.69\%,85.96\%,84.18\%,78.86\%
14,\textbf{100.00\%},99.92\%,95.46\%,88.49\%,84.60\%,84.96\%,80.01\%
15,\textbf{100.00\%},99.81\%,95.23\%,89.02\%,86.04\%,85.74\%,78.80\%
16,\textbf{100.00\%},99.85\%,96.54\%,89.53\%,85.65\%,86.28\%,79.53\%
17,\textbf{100.00\%},99.92\%,95.64\%,89.76\%,86.24\%,86.42\%,79.68\%
18,\textbf{100.00\%},\textbf{100.00\%},95.36\%,90.78\%,88.10\%,84.73\%,
19,\textbf{100.00\%},\textbf{100.00\%},94.79\%,89.04\%,86.29\%,85.88\%,
20,\textbf{100.00\%},\textbf{100.00\%},96.85\%,89.65\%,88.33\%,83.69\%,
21,\textbf{100.00\%},\textbf{100.00\%},97.18\%,92.12\%,83.96\%,\textbf{86.73\%},
22,\textbf{100.00\%},\textbf{100.00\%},96.49\%,88.88\%,87.15\%,86.43\%,
23,\textbf{100.00\%},\textbf{100.00\%},95.69\%,90.33\%,89.54\%,85.92\%,
24,\textbf{100.00\%},99.88\%,95.51\%,90.53\%,88.39\%,86.46\%,
25,\textbf{100.00\%},\textbf{100.00\%},96.56\%,\textbf{92.59\%},88.90\%,,
26,\textbf{100.00\%},99.88\%,97.56\%,91.53\%,86.95\%,,
27,\textbf{100.00\%},\textbf{100.00\%},96.33\%,92.35\%,88.21\%,,
28,\textbf{100.00\%},\textbf{100.00\%},\textbf{97.79\%},92.16\%,88.96\%,,
29,\textbf{100.00\%},99.88\%,96.79\%,90.80\%,86.95\%,,
30,\textbf{100.00\%},\textbf{100.00\%},97.51\%,91.65\%,\textbf{90.80\%},,
