Layers,3 Nodes,4 Nodes,5 Nodes,6 Nodes,7 Nodes,8 Nodes,9 Nodes,10 Nodes
1,83.08\%,93.04\%,72.05\%,73.45\%,80.02\%,81.69\%,77.55\%,72.92\%
2,89.46\%,92.04\%,72.00\%,79.63\%,79.14\%,81.90\%,78.32\%,74.99\%
3,94.31\%,95.42\%,72.77\%,79.84\%,79.42\%,82.86\%,77.79\%,\textbf{77.82\%}
4,98.69\%,95.27\%,79.15\%,78.71\%,79.99\%,81.33\%,78.03\%,75.95\%
5,97.77\%,95.23\%,81.23\%,81.55\%,79.57\%,83.92\%,77.33\%,72.90\%
6,98.31\%,96.81\%,81.08\%,81.39\%,79.65\%,81.44\%,78.24\%,73.19\%
7,98.77\%,97.00\%,82.44\%,80.69\%,81.40\%,82.40\%,76.96\%,70.66\%
8,99.15\%,97.69\%,\textbf{84.13\%},\textbf{84.41\%},82.99\%,81.34\%,78.36\%,70.81\%
9,98.31\%,96.38\%,83.44\%,82.53\%,80.74\%,83.04\%,74.96\%,70.66\%
10,99.15\%,\textbf{98.73\%},81.77\%,83.18\%,80.40\%,82.16\%,76.14\%,70.52\%
11,98.85\%,98.23\%,76.85\%,83.08\%,78.20\%,82.62\%,77.07\%,70.74\%
12,\textbf{100.00\%},97.69\%,80.77\%,81.53\%,78.21\%,82.21\%,75.99\%,66.21\%
13,97.85\%,96.12\%,82.31\%,82.73\%,81.60\%,,74.07\%,65.14\%
14,98.69\%,96.88\%,81.77\%,79.16\%,81.14\%,83.15\%,75.18\%,65.08\%
15,97.85\%,96.46\%,83.64\%,82.24\%,80.12\%,80.39\%,75.39\%,63.05\%
16,98.38\%,97.31\%,81.77\%,79.22\%,78.49\%,82.55\%,76.80\%,66.73\%
17,97.92\%,95.81\%,81.38\%,79.82\%,81.21\%,82.69\%,76.61\%,67.79\%
18,95.46\%,96.12\%,82.85\%,77.41\%,\textbf{83.28\%},81.74\%,77.91\%,64.25\%
19,96.38\%,95.81\%,80.46\%,82.39\%,77.98\%,\textbf{85.82\%},75.26\%,67.34\%
20,94.92\%,96.69\%,79.67\%,80.39\%,80.08\%,82.04\%,74.86\%,66.04\%
21,96.46\%,97.08\%,77.38\%,77.61\%,79.64\%,82.21\%,77.57\%,65.55\%
22,97.31\%,94.88\%,79.33\%,79.06\%,79.42\%,82.48\%,77.69\%,64.56\%
23,92.77\%,94.35\%,77.13\%,82.45\%,79.92\%,82.28\%,77.97\%,65.53\%
24,95.85\%,96.69\%,80.18\%,79.41\%,80.92\%,81.49\%,74.59\%,66.93\%
25,93.92\%,94.42\%,79.15\%,77.20\%,81.34\%,81.81\%,76.33\%,65.38\%
26,93.69\%,93.88\%,77.49\%,76.16\%,79.19\%,79.46\%,76.27\%,67.01\%
27,94.00\%,94.65\%,75.08\%,80.90\%,81.01\%,80.71\%,77.50\%,63.84\%
28,96.92\%,97.00\%,80.03\%,80.24\%,77.47\%,81.55\%,\textbf{78.54\%},65.75\%
29,95.85\%,95.62\%,81.87\%,81.88\%,79.30\%,80.36\%,75.64\%,62.16\%
30,95.92\%,95.27\%,76.74\%,80.63\%,77.68\%,82.29\%,75.85\%,69.00\%
