Layers,3 Nodes,4 Nodes,5 Nodes,6 Nodes,7 Nodes,8 Nodes,9 Nodes,10 Nodes
1,53.69\%,69.15\%,60.17\%,69.97\%,74.44\%,78.81\%,74.68\%,63.34\%
2,56.74\%,73.23\%,61.36\%,70.20\%,72.28\%,77.07\%,74.61\%,63.88\%
3,52.09\%,70.79\%,64.23\%,70.78\%,73.77\%,76.18\%,73.06\%,61.83\%
4,48.36\%,70.83\%,62.43\%,70.07\%,73.85\%,76.30\%,74.05\%,63.81\%
5,48.44\%,68.20\%,64.18\%,72.08\%,74.15\%,78.30\%,71.99\%,63.72\%
6,53.47\%,72.81\%,63.24\%,68.56\%,73.74\%,77.17\%,74.57\%,64.11\%
7,56.36\%,66.98\%,60.70\%,66.82\%,72.38\%,75.41\%,70.42\%,\textbf{67.01\%}
8,51.94\%,67.63\%,64.18\%,70.48\%,73.34\%,78.90\%,73.61\%,63.41\%
9,51.56\%,69.12\%,59.36\%,69.43\%,71.68\%,78.77\%,72.57\%,64.87\%
10,55.29\%,71.17\%,58.31\%,70.22\%,73.94\%,77.47\%,\textbf{75.77\%},64.02\%
11,55.22\%,68.85\%,63.09\%,69.55\%,73.13\%,77.56\%,73.09\%,62.78\%
12,49.96\%,71.74\%,61.77\%,70.64\%,71.00\%,79.72\%,75.48\%,63.24\%
13,52.17\%,65.58\%,62.81\%,74.01\%,74.64\%,79.08\%,73.79\%,62.21\%
14,52.93\%,69.84\%,62.07\%,72.26\%,71.89\%,77.64\%,73.65\%,64.07\%
15,\textbf{60.93\%},71.33\%,62.88\%,69.77\%,68.95\%,77.22\%,74.75\%,61.87\%
16,55.60\%,70.07\%,63.82\%,72.18\%,74.93\%,79.11\%,74.41\%,63.18\%
17,55.90\%,63.21\%,60.12\%,67.65\%,72.87\%,78.70\%,74.77\%,64.07\%
18,58.42\%,65.27\%,59.74\%,70.96\%,74.54\%,79.54\%,74.61\%,63.05\%
19,44.94\%,64.74\%,62.88\%,67.75\%,74.08\%,78.58\%,74.28\%,65.78\%
20,52.86\%,68.96\%,57.76\%,66.58\%,71.39\%,78.29\%,71.97\%,66.68\%
21,55.22\%,69.99\%,63.92\%,66.42\%,75.93\%,74.42\%,73.45\%,64.06\%
22,49.12\%,70.79\%,65.65\%,\textbf{76.12\%},73.07\%,78.09\%,74.37\%,66.57\%
23,56.21\%,75.70\%,63.01\%,72.28\%,76.05\%,77.53\%,73.04\%,64.49\%
24,53.31\%,\textbf{77.11\%},64.38\%,71.83\%,72.13\%,78.73\%,71.97\%,63.04\%
25,58.19\%,77.00\%,65.19\%,72.80\%,71.61\%,78.52\%,73.63\%,62.57\%
26,45.62\%,68.70\%,63.70\%,69.81\%,75.67\%,79.72\%,73.28\%,61.35\%
27,56.66\%,76.39\%,\textbf{68.32\%},69.29\%,71.82\%,77.32\%,75.51\%,65.73\%
28,50.88\%,70.26\%,62.88\%,68.09\%,73.68\%,79.17\%,74.05\%,64.18\%
29,53.85\%,66.64\%,66.18\%,67.87\%,\textbf{77.80\%},77.26\%,73.52\%,64.32\%
30,50.95\%,69.99\%,61.67\%,70.90\%,74.86\%,\textbf{80.70\%},75.15\%,62.24\%
